id,question,answerable,reference_answer,ai_answer,reference_pages,retrieved_pages,answer_correct,page_retrieval_hit,refusal_correct
63,"Which semesters have a PKR 29,250 fee for B.E/BS/B.Tech?",True,"The 2nd, 4th, 6th, and 8th semesters have a fee of PKR 29,250.",I could not find this information in the available university documents.,2,"1,2",False,True,
64,"Which semesters have a PKR 48,500 fee for B.E/BS/B.Tech?",True,"The 3rd, 5th, and 7th semesters have a fee of PKR 48,500.",I could not find this information in the available university documents.,2,"1,2",False,True,
65,What is the practical fee in the summer semester?,True,"The practical fee is PKR 3,000.","PKR 3,000",2,"1,2",False,True,
66,What is the examination and migration fee information?,True,"The examination fee is PKR 2,750 per exam, while migration costs PKR 2,000.","The examination and migration fee information is:
* PKR 2,750 per exam
* PKR 2,000 for migration",2,"1,2",True,True,
67,Is hostel unavailable for students who live within 30 km?,True,Yes. Hostel is not available for students within 30 km.,"Yes, the hostel is not available for students who live within 30 km.",2,"1,2,3",False,True,
68,Is a two-week absence enough to cause automatic cancellation?,True,Yes. A two-week absence leads to automatic cancellation.,"Yes, a two-week absence leads to automatic cancellation.",2,"1,2,3",False,True,
69,What is the foreign-student fee range?,True,"The foreign-student fee is USD 6,000–10,000 depending on the scheme.","USD 6,000–10,000 depending on scheme.",2,"1,2",True,True,
70,Which tables contain detailed district/category-wise seat distribution?,True,Tables 1-7 in the prospectus contain the detailed seat distribution.,Tables 1-7 in the prospectus contain detailed district/category-wise seat distribution.,2,"1,2",True,True,
71,What city and province is QUEST in?,True,"QUEST is in Nawabshah, Sindh, Pakistan.",I could not find this information in the available university documents.,3,"2,3",False,True,
72,What is QUEST's contact email?,True,QUEST's contact email is info@quest.edu.pk.,QUEST's contact email is info@quest.edu.pk.,3,"2,3",True,True,
73,What phone number is provided for contact?,True,The contact phone number is +92 244 9370367.,I could not find this information in the available university documents.,3,"1,2",False,False,
74,Does QUEST describe research as part of its mission?,True,Yes. QUEST says it is dedicated to fostering research.,"Yes, QUEST states in its mission that it is dedicated to fostering research.",2,"2,3",True,True,
75,Does QUEST mention innovation in its mission statement?,True,Yes. QUEST says it is dedicated to nurturing innovation.,"Yes, QUEST states that it is dedicated to nurturing innovation for a brighter future.",2,"2,3",True,True,
76,What happens to an application containing tampered or false information?,True,It is rejected.,Tampering or providing false information leads to rejection of the application.,1,"1,3",True,True,
77,What documents are specifically mentioned for submission?,True,"The document lists attested SSC/HSC marksheets, domicile, PRC, and certificates.","Attested SSC/HSC marksheets, domicile, PRC, and certificates.",1,"1,2",True,True,
78,Can a rusticated student be eligible for admission?,True,No. Students who are rusticated or debarred are ineligible.,"No, a rusticated student is ineligible for admission.",1,"1,2",True,True,
79,Can a debarred student be eligible for admission?,True,No. Students who are rusticated or debarred are ineligible.,"No, a debarred student is ineligible for admission.",1,"1,2",True,True,
80,Can Pre-Engineering students apply to Science programs?,True,Yes. Pre-Engineering students are eligible for Science programs.,"Yes, Pre-Engineering students are eligible for Engineering & Science programs.",1,"1,2",True,True,
81,What is the exact closing date for undergraduate applications?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
82,Who is the current Vice Chancellor of QUEST?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"2,3",True,,True
83,How many students are enrolled at QUEST this year?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
84,What is the hostel monthly rent?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"2,3",True,,True
85,What are the class timings for the AI department?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
86,How many marks are required to pass each university course?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
87,What is the exact tuition fee for the AI department's second year?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
88,Does QUEST provide laptops to all new students?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
89,What is the current ranking of QUEST in Pakistan?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"2,3",True,,True
90,How many scholarships are available this year?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
91,What is the scholarship application deadline?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
92,Who is the Head of the Artificial Intelligence department?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2,3",True,,True
93,How many AI faculty members are currently employed?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
94,What is the exact bus route from Nawabshah city to campus?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"2,3",True,,True
95,Does the university provide free transport to every student?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
96,What is the average salary of a QUEST graduate?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
97,What are the cafeteria opening and closing times?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
98,How many seats are available specifically for the AI program?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
99,What is the exact semester start date for Batch-24?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
100,Does QUEST offer a fully funded international exchange program?,False,I could not find this information in the available university documents.,I could not find this information in the available university documents.,,"1,2",True,,True
