id,question,answerable,reference_answer,reference_pages,keywords
37,What happens after a two-week absence?,True,A two-week absence leads to automatic cancellation.,2,2-week | automatic cancellation
38,What is the fee range for foreign students?,True,"Foreign students pay USD 6,000–10,000 depending on the scheme.",2,"USD | 6,000 | 10,000"
39,Where should students look for detailed seat distribution?,True,Students should refer to Tables 1-7 in the prospectus for detailed seat distribution.,2,Tables 1-7 | prospectus
40,What is the full name of QUEST?,True,"QUEST stands for Quaid-e-Awam University of Engineering, Science & Technology.",2,Quaid-e-Awam University | Engineering
41,Where is QUEST located?,True,"QUEST is located in Nawabshah, Sindh, Pakistan.",3,Nawabshah | Sindh
42,What is the university telephone number shown in the document?,True,The telephone number is +92 244 9370367.,3,+92 244 9370367
43,What email address is shown for QUEST?,True,The email address is info@quest.edu.pk.,3,info@quest.edu.pk
44,What does QUEST say it is dedicated to?,True,"QUEST says it is dedicated to delivering world-class education, fostering research, and nurturing innovation for a brighter future.",2,world-class education | research | innovation
45,Does the document mention a prospectus?,True,Yes. The document provides a Download Prospectus option and refers to the prospectus for detailed seat distribution.,2,prospectus
46,Does the document provide an online Apply Now option?,True,Yes. It provides an Apply Now option for undergraduate and postgraduate applications.,2,Apply Now
47,Does the document mention admissions?,True,Yes. Admissions are listed as one of the university's key areas/quick links.,2,Admissions
48,Does the document mention academics?,True,Yes. Academics is listed as a university section/quick link.,"2,3",Academics
49,Does the document mention research?,True,Yes. Research is listed as a university section/quick link.,"2,3",Research
50,Does the document mention campus life?,True,Yes. Campus Life is listed as a university section.,"1,3",Campus Life
51,Does the document mention downloads?,True,Yes. Downloads is listed as a university section/quick link.,"1,3",Downloads
52,Does the document mention a Telephone Directory?,True,Yes. Telephone Directory is listed in the university navigation.,"1,3",Telephone Directory
53,Does the document mention Teacher/Officer Login?,True,Yes. Teacher/Officer Login is listed in the navigation.,"1,2,3",Teacher/Officer Login
54,Does the document mention Department Login?,True,Yes. Department Login is listed in the navigation.,"1,2,3",Department Login
55,Is Mathematics required for Pre-Medical students entering the listed programs?,True,Yes. Pre-Medical students can enter the listed programs with a Mathematics course.,1,Mathematics | Pre-Medical
56,Are Hifz-ul-Quran marks included in the 60% Engineering requirement?,True,No. The 60% Engineering requirement excludes Hifz-ul-Quran.,1,excluding | Hifz-ul-Quran
57,Are grace marks included in the Engineering merit requirement?,True,No. Grace marks are not counted.,1,Grace | not counted
58,Does Category-F apply to DAE holders?,True,Yes. DAE holders require 60% under Category-F.,1,Category-F | 60%
59,"Are Categories A-I, P and SF covered by the compulsory pre-admission test?",True,"Yes. The pre-admission test is compulsory for Categories A-I, P, and SF.",1,A-I | P | SF
60,Is the pre-admission test one hour or two hours?,True,It is a 1-hour test.,1,1-hour
61,Does the merit formula give the largest weight to the test?,True,Yes. The test has the largest weight at 70%.,1,70% | Test
62,"Is the B.E/BS/B.Tech first semester fee PKR 58,500 or PKR 29,250?",True,"The first-semester fee is PKR 58,500.",1,"58,500"
63,"Which semesters have a PKR 29,250 fee for B.E/BS/B.Tech?",True,"The 2nd, 4th, 6th, and 8th semesters have a fee of PKR 29,250.",2,"2nd | 4th | 6th | 8th | 29,250"
64,"Which semesters have a PKR 48,500 fee for B.E/BS/B.Tech?",True,"The 3rd, 5th, and 7th semesters have a fee of PKR 48,500.",2,"3rd | 5th | 7th | 48,500"
65,What is the practical fee in the summer semester?,True,"The practical fee is PKR 3,000.",2,"3,000 | Practical"
66,What is the examination and migration fee information?,True,"The examination fee is PKR 2,750 per exam, while migration costs PKR 2,000.",2,"2,750 | 2,000"
67,Is hostel unavailable for students who live within 30 km?,True,Yes. Hostel is not available for students within 30 km.,2,30km | Hostel
68,Is a two-week absence enough to cause automatic cancellation?,True,Yes. A two-week absence leads to automatic cancellation.,2,2-week | automatic cancellation
69,What is the foreign-student fee range?,True,"The foreign-student fee is USD 6,000–10,000 depending on the scheme.",2,"USD | 6,000 | 10,000"
70,Which tables contain detailed district/category-wise seat distribution?,True,Tables 1-7 in the prospectus contain the detailed seat distribution.,2,Tables 1-7
71,What city and province is QUEST in?,True,"QUEST is in Nawabshah, Sindh, Pakistan.",3,Nawabshah | Sindh
72,What is QUEST's contact email?,True,QUEST's contact email is info@quest.edu.pk.,3,info@quest.edu.pk
73,What phone number is provided for contact?,True,The contact phone number is +92 244 9370367.,3,+92 244 9370367
74,Does QUEST describe research as part of its mission?,True,Yes. QUEST says it is dedicated to fostering research.,2,fostering research
75,Does QUEST mention innovation in its mission statement?,True,Yes. QUEST says it is dedicated to nurturing innovation.,2,nurturing innovation
76,What happens to an application containing tampered or false information?,True,It is rejected.,1,rejection
77,What documents are specifically mentioned for submission?,True,"The document lists attested SSC/HSC marksheets, domicile, PRC, and certificates.",1,SSC | HSC | PRC | certificates
78,Can a rusticated student be eligible for admission?,True,No. Students who are rusticated or debarred are ineligible.,1,rusticated | ineligible
79,Can a debarred student be eligible for admission?,True,No. Students who are rusticated or debarred are ineligible.,1,debarred | ineligible
80,Can Pre-Engineering students apply to Science programs?,True,Yes. Pre-Engineering students are eligible for Science programs.,1,Pre-Engineering | Science
81,What is the exact closing date for undergraduate applications?,False,I could not find this information in the available university documents.,,
82,Who is the current Vice Chancellor of QUEST?,False,I could not find this information in the available university documents.,,
83,How many students are enrolled at QUEST this year?,False,I could not find this information in the available university documents.,,
84,What is the hostel monthly rent?,False,I could not find this information in the available university documents.,,
85,What are the class timings for the AI department?,False,I could not find this information in the available university documents.,,
86,How many marks are required to pass each university course?,False,I could not find this information in the available university documents.,,
87,What is the exact tuition fee for the AI department's second year?,False,I could not find this information in the available university documents.,,
88,Does QUEST provide laptops to all new students?,False,I could not find this information in the available university documents.,,
89,What is the current ranking of QUEST in Pakistan?,False,I could not find this information in the available university documents.,,
90,How many scholarships are available this year?,False,I could not find this information in the available university documents.,,
91,What is the scholarship application deadline?,False,I could not find this information in the available university documents.,,
92,Who is the Head of the Artificial Intelligence department?,False,I could not find this information in the available university documents.,,
93,How many AI faculty members are currently employed?,False,I could not find this information in the available university documents.,,
94,What is the exact bus route from Nawabshah city to campus?,False,I could not find this information in the available university documents.,,
95,Does the university provide free transport to every student?,False,I could not find this information in the available university documents.,,
96,What is the average salary of a QUEST graduate?,False,I could not find this information in the available university documents.,,
97,What are the cafeteria opening and closing times?,False,I could not find this information in the available university documents.,,
98,How many seats are available specifically for the AI program?,False,I could not find this information in the available university documents.,,
99,What is the exact semester start date for Batch-24?,False,I could not find this information in the available university documents.,,
100,Does QUEST offer a fully funded international exchange program?,False,I could not find this information in the available university documents.,,
